STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
MANIPUR,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1
MEGHALAYA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),18,0,0,0,0,0,0,0,18,4,0,0,4,0,0,0,0,4
MIZORAM,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
NAGALAND,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
ODISHA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),64,304,0,0,15,262,4,266,87,1241,262,0,1503,0,197,18,179,1306
PUNJAB,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),13,31,0,0,3,13,9,22,19,46,13,0,59,0,11,3,8,48
RAJASTHAN,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,18,0,0,2,15,0,15,1,88,15,0,103,0,9,5,4,94
SIKKIM,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),167,382,0,0,14,351,36,387,148,971,351,0,1322,0,323,113,210,999
TRIPURA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),3,7,0,0,0,10,0,10,0,10,10,0,20,0,4,1,3,16
UTTAR PRADESH,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),2,8,0,0,0,9,1,10,0,1719,9,0,1728,18,1452,826,626,258
UTTARAKHAND,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),2,73,0,0,1,67,2,69,5,454,67,0,521,2,63,49,14,456
WEST BENGAL,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),127,556,0,0,5,380,78,458,220,119,380,0,499,19,229,96,133,251
TOTAL (STATES),INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),1907,8934,0,0,338,7754,314,8068,2435,24415,7754,2,32167,1324,6784,2502,4282,24059
A & N ISLANDS,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),3,4,0,0,0,4,0,4,3,33,4,0,37,0,1,0,1,36
CHANDIGARH,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),3,25,0,0,1,15,1,16,11,25,15,0,40,0,6,0,6,34
D & N HAVELI,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,2
DAMAN & DIU,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,1,0
DELHI,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),105,208,0,0,0,158,10,168,145,529,158,0,687,0,148,63,85,539
